model,product_threshold,none_threshold,mean_order_f1
lightgbm,0.28,0.1,0.366098588561932
lightgbm,0.28,0.2,0.3660230704599677
lightgbm,0.28,0.35,0.3651876231036759
lightgbm,0.28,0.5,0.3644216753862763
lightgbm,0.28,1.1,0.36428830140563456
lightgbm,0.3,0.05,0.35799482851604314
lightgbm,0.3,0.1,0.3586127453484253
lightgbm,0.3,0.2,0.3586682119879938
lightgbm,0.3,0.35,0.35788357376718455
lightgbm,0.3,0.5,0.35719002906784764
lightgbm,0.3,1.1,0.35715827335817096
lightgbm,0.32,0.05,0.34926493140760284
lightgbm,0.32,0.1,0.3500162139723904
lightgbm,0.32,0.2,0.35021379497364497
lightgbm,0.32,0.35,0.3496688669955945
lightgbm,0.32,0.5,0.34903883371561073
lightgbm,0.32,1.1,0.34901978028980485
lightgbm,0.34,0.05,0.3393355390598753
lightgbm,0.34,0.1,0.3402420001351497
lightgbm,0.34,0.2,0.34048168013437546
lightgbm,0.34,0.35,0.34018190623502836
lightgbm,0.34,0.5,0.33967508510858985
lightgbm,0.34,1.1,0.3396623828247192
lightgbm,0.36,0.05,0.32924096992411633
lightgbm,0.36,0.1,0.3304026864181246
lightgbm,0.36,0.2,0.33075574942266234
lightgbm,0.36,0.35,0.33085355700846625
lightgbm,0.36,0.5,0.3304165984433163
lightgbm,0.36,1.1,0.33042930072718685
lightgbm,0.38,0.05,0.3179009789586902
lightgbm,0.38,0.1,0.3191102382866143
lightgbm,0.38,0.2,0.3196415264312703
lightgbm,0.38,0.35,0.31972536150481656
lightgbm,0.38,0.5,0.3192972945383759
lightgbm,0.38,1.1,0.31930999682224664
lightgbm,0.4,0.05,0.3076269764005723
lightgbm,0.4,0.1,0.30893267410707786
lightgbm,0.4,0.2,0.30960677221467947
lightgbm,0.4,0.35,0.30986081789209224
lightgbm,0.4,0.5,0.30957882719016405
lightgbm,0.4,1.1,0.30959152947403473
lightgbm,0.42,0.05,0.2967452428826539
lightgbm,0.42,0.1,0.2981323341847669
lightgbm,0.42,0.2,0.29896233770511416
lightgbm,0.42,0.35,0.29929767799929907
lightgbm,0.42,0.5,0.29900552547027437
lightgbm,0.42,1.1,0.29900552547027437
lightgbm,0.44,0.05,0.28545619426663443
lightgbm,0.44,0.1,0.28697496591153976
lightgbm,0.44,0.2,0.2878998736385205
lightgbm,0.44,0.35,0.28829237421012327
lightgbm,0.44,0.5,0.2881018399520637
lightgbm,0.44,1.1,0.2881018399520637
lightgbm,0.46,0.05,0.2744333965272816
lightgbm,0.46,0.1,0.2758747172335212
lightgbm,0.46,0.2,0.27691086067496906
lightgbm,0.46,0.35,0.2773630619807638
lightgbm,0.46,0.5,0.27722333685818684
lightgbm,0.46,1.1,0.27722333685818684
lightgbm,0.48,0.05,0.2626663373282267
lightgbm,0.48,0.1,0.2640690021464086
lightgbm,0.48,0.2,0.26515468449495205
lightgbm,0.48,0.35,0.2655878323749409
lightgbm,0.48,0.5,0.2655751300910702
lightgbm,0.48,1.1,0.2655751300910702
lightgbm,0.5,0.05,0.2512473003800502
lightgbm,0.5,0.1,0.2525546980692024
lightgbm,0.5,0.2,0.25371405366419547
lightgbm,0.5,0.35,0.25413195880353956
lightgbm,0.5,0.5,0.25410655423579825
lightgbm,0.5,1.1,0.25410655423579825
